exported_at,nvid,gate_code,gate_result,exception_id
2026-09-09T10:15:00-04:00,NVID-10482,SELLER_IDENTITY,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,TAX_PAYMENT,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,MERCH_TERMS,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,CURRENT_COI,FAIL,
2026-09-09T10:15:00-04:00,NVID-10482,CONTACTS,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,RISK_CLASSIFICATION,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,FACILITY_DOCUMENTS,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,NO_CRITICAL_QR_BLOCK,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,CONNECTIVITY,PASS,
2026-09-09T10:15:00-04:00,NVID-10482,AUTHORIZED_ITEM,PASS,
